IC,Name,StorageBox,Drawer,Row,Col
MC68B00L,MC68B00L Microprocessor Unit,Storage Box 1,1,1,1
2!MC6800L,MC6800L Microprocessor Unit,Storage Box 1,1,1,2
MC68B00P,MC68B00P Microprocessor Unit,Storage Box 1,1,1,3
MC68B00S,MC68B00S Microprocessor Unit,Storage Box 1,1,2,1
MC6800CL,MC6800CL Microprocessor Unit,Storage Box 1,1,2,2
MC68A00P,MC68A00P Microprocessor Unit,Storage Box 1,1,2,3
MC6800CP,MC6800CP Microprocessor Unit,Storage Box 1,1,3,1
MC6800GMCM,MC6800GMCM General Motors/Delcom Microprocessor Unit,Storage Box 1,1,3,2
MC6800P,MC6800P Microprocessor Unit,Storage Box 1,1,3,3

MC68A00L,MC68A00L Microprocessor Unit,Storage Box 1,2,1,1

MC68B09CP,MC68B09CP 8-Bit Microprocessing Unit,Storage Box 1,3,1,1
HD63C09EP,HD63C09EP 8-Bit Microprocessing Unit Hitachi (Enhanced),Storage Box 1,3,1,2
SC84003L,SC84003L (MC6809) 8-Bit Microprocessing Unit,Storage Box 1,3,1,3
MC68B09P,MC68B09P 8-Bit Microprocessing Unit,Storage Box 1,3,2,1
MC6883P,MC6883P Synchronous Address Multiplexer,Storage Box 1,3,2,2
MC6809EP,MC6809EP 8-Bit Microprocessing Unit (MC6809E),Storage Box 1,3,2,3
MC68B09EP,MC68B09EP 8-Bit Microprocessing Unit (MC6809E),Storage Box 1,3,3,1

MC6850L,MC6850L Asynchronous Communications Interface Adapter (MC6850),Storage Box 1,4,1,1
MC6862L,MC6862L 2400 bps Digital Modulator,Storage Box 1,4,1,2
MCM6810EL,MCM6810EL 128 x 8-bit RAM,Storage Box 1,4,1,3
MC68A50P,MC68A50P Asynchronous Communications Interface Adapter (MC6850),Storage Box 1,4,1,4
MC68B50P,MC68B50P Asynchronous Communications Interface Adapter (MC5850),Storage Box 1,4,2,1
MC6862P,MC6862P 2400 bps Digital Modulator,Storage Box 1,4,2,2
